Date Last Researched,Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL
2023-07-25,Argentina,Atucha nuclear power plant,1,,,362.0,operating,pressurized heavy water reactor,PHWR KWU,1974.0,,,,1968-06-01 00:00:00,1974-01-13 00:00:00,1974-03-19 00:00:00,1974-06-24 00:00:00,,Nucleoelectrica Argentina SA,,Nucleoelectrica Argentina SA,,340.0,319.0,1179.0,-33.96701,-59.2095,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L500166,G500502,https://gem.wiki/Atucha_nuclear_power_plant
2023-08-01,Argentina,Atucha nuclear power plant,2,,,745.0,mothballed,pressurized heavy water reactor,PHWR KWU,2016.0,,,,1981-07-13 00:00:00,2014-06-02 00:00:00,2014-06-24 00:00:00,2016-05-25 00:00:00,,Nucleoelectrica Argentina SA,,Nucleoelectrica Argentina SA,,693.0,692.0,2160.0,-33.9672,-59.2073,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L500166,G500382,https://gem.wiki/Atucha_nuclear_power_plant
2023-08-01,Argentina,Atucha nuclear power plant,3,,Unit IV,1150.0,pre-construction,pressurized water reactor,Hualong One,2029.0,,,,,,,,,China National Nuclear CORP [85%]; Nucleoelectrica Argentina SA [15%],,Nucleoelectrica Argentina SA,,,,,-33.9672,-59.2075,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L500166,G500646,https://gem.wiki/Atucha_nuclear_power_plant
2023-07-25,Argentina,CAREM nuclear power plant,,Central Argentina de Elementos Modulares,CAREM25,29.0,construction,pressurized water reactor,CAREM Prototype (Integrated-PWR),2023.0,,,,2015-08-25 00:00:00,,,,,Comision Nacional De Energia Atomica,,Comision Nacional De Energia Atomica,,25.0,25.0,100.0,-33.9678,-59.21301,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L500252,G500600,https://gem.wiki/CAREM_nuclear_power_plant
2023-07-25,Argentina,Embalse nuclear power plant,,,,656.0,operating,pressurized heavy water reactor,CANDU 6,1984.0,,,,1974-04-01 00:00:00,1983-03-13 00:00:00,1983-04-25 00:00:00,1984-01-20 00:00:00,,Nucleoelectrica Argentina SA,,Nucleoelectrica Argentina SA,,608.0,608.0,2064.0,-32.2316,-64.4422,exact,,Pedanía Cañada de Álvarez,Departamento Calamuchita,Córdoba,Latin America and the Caribbean,Americas,L500169,G500385,https://gem.wiki/Embalse_nuclear_power_plant
2023-07-25,Armenia,Armenian nuclear power plant,1,Հայկական ատոմային էլեկտրակայան,Metsamor,408.0,retired,pressurized water reactor,VVER V-270,1977.0,1989.0,N,,1969-07-01 00:00:00,1976-12-15 00:00:00,1976-12-22 00:00:00,1977-10-06 00:00:00,1989-02-25 00:00:00,Ministry Of Territorial Administration And Infrastructure,,Closed Joint Stock Company Armenian NPP,,376.0,376.0,1375.0,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L500203,G500481,https://gem.wiki/Armenian_nuclear_power_plant
2023-07-25,Armenia,Armenian nuclear power plant,2,Հայկական ատոմային էլեկտրակայան,Metsamor,448.0,operating,pressurized water reactor,VVER V-270,1980.0,2026.0,Y,,1975-07-01 00:00:00,1980-01-01 00:00:00,1980-01-05 00:00:00,1980-05-03 00:00:00,,Ministry Of Territorial Administration And Infrastructure,,Closed Joint Stock Company Armenian NPP,,416.0,375.0,1375.0,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L500203,G500482,https://gem.wiki/Armenian_nuclear_power_plant
2023-07-25,Armenia,Armenian nuclear power plant,3,Հայկական ատոմային էլեկտրակայան,Metsamor,1200.0,announced,unknown,unknown,,,,,,,,,,,,,,,,,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L500203,G500714,https://gem.wiki/Armenian_nuclear_power_plant
2023-08-30,Austria,Zwentendorf nuclear power plant,1,,,723.0,cancelled,boiling water reactor,unknown,,,,1978.0,1971-05-01 00:00:00,,,,,,,Tullnerfeld GMBH,,,692.0,,48.3546,15.88501,exact,,Bezirk Tulln,,Lower Austria,Western Europe,Europe,L500381,G501048,https://gem.wiki/Zwentendorf_nuclear_power_plant
2023-08-30,Azerbaijan,Navai New nuclear power plant,1,,,1500.0,cancelled,unknown,unknown,,,,2013.0,,,,,,,,,,,,,40.0161,49.1355,approximate,Navahi,,,Hajigabul District,Western Asia,Asia,L500382,G501049,https://gem.wiki/Navai_New_nuclear_power_plant
2023-08-30,Azerbaijan,Navai Original nuclear power plant,1,,,1000.0,cancelled,unknown,unknown,,,,1986.0,,,,,,,,,,,,,40.0161,49.1355,approximate,Navahi,,,Hajigabul District,Western Asia,Asia,L500383,G501050,https://gem.wiki/Navai_Original_nuclear_power_plant
2023-07-25,Bangladesh,Rooppur nuclear power plant,1,,,1200.0,construction,pressurized water reactor,VVER V-523,2024.0,,,,2017-11-30 00:00:00,,,,,Bangladesh Atomic Energy Commission,,Nuclear Power Plant Company Bangladesh LTD,,1080.0,1080.0,3200.0,24.0656,89.0453,exact,,Iswardi,Pabna District,Rajshahi Division,Southern Asia,Asia,L500091,G500177,https://gem.wiki/Rooppur_nuclear_power_plant
