source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25457366,RECIP power plant,ABW,electricity-generation,12.476,-69.9822,trace_-69.9822_12.476,owner,WEB Aruba,1.00001E+11,100,WEB Aruba,1.00001E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{11653},{11653}
25455332,Soyo power station,AGO,electricity-generation,-6.1818,12.3255,trace_12.3255_-6.1818,owner,Sonangol Group,1E+11,100,Sonagás,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{10984},"{2649,10984}"
25450582,Al Aweer H Power and Desalination Station,ARE,electricity-generation,25.1495,55.4261,trace_55.4261_25.1495,owner,Dubai Electricity and Water Authority,1E+11,100,Dubai Electricity and Water Authority,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.8,,{7479},"{5370,7479}"
25450151,Al-Zawra power plant,ARE,electricity-generation,25.4478,55.4747,trace_55.4747_25.4478,owner,Federal Electricity and Water Authority (United Arab Emirates),1E+11,100,Federal Electricity and Water Authority (United Arab Emirates),1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.8,,{7163},"{2849,2850,7163}"
25453923,Emirates Aluminum Smelter Complex power station,ARE,electricity-generation,24.7989,54.7105,trace_54.7105_24.7989,owner,Mubadala Investment Company,1E+11,50,Emirates Global Aluminium,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{9899},"{5399,5400,9899}"
25453923,Emirates Aluminum Smelter Complex power station,ARE,electricity-generation,24.7989,54.7105,trace_54.7105_24.7989,owner,Investment Corporation of Dubai,1.00001E+11,50,Emirates Global Aluminium,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{9899},"{5399,5400,9899}"
25450581,Emirates Global Aluminum Smelter power station,ARE,electricity-generation,25.0242,55.0878,trace_55.0878_25.0242,owner,Mubadala Investment Company,1E+11,50,Emirates Global Aluminium,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.8,,{7478},"{5399,5400,7478}"
25450581,Emirates Global Aluminum Smelter power station,ARE,electricity-generation,25.0242,55.0878,trace_55.0878_25.0242,owner,Investment Corporation of Dubai,1.00001E+11,50,Emirates Global Aluminium,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.8,,{7478},"{5399,5400,7478}"
25453115,Fujairah F1 Integrated Water and power plant,ARE,electricity-generation,25.3142,56.3728,trace_56.3728_25.3142,owner,Abu Dhabi National Energy Company,1E+11,54,Emirates Sembcorp Water & Power,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{9316},"{1166,5504,9316}"
25453115,Fujairah F1 Integrated Water and power plant,ARE,electricity-generation,25.3142,56.3728,trace_56.3728_25.3142,owner,other,1E+11,40,Emirates Sembcorp Water & Power,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{9316},"{1166,9316}"
25453115,Fujairah F1 Integrated Water and power plant,ARE,electricity-generation,25.3142,56.3728,trace_56.3728_25.3142,owner,Abu Dhabi Water and Electricity Authority,1E+11,6,Emirates Sembcorp Water & Power,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{9316},"{1166,9316}"
25453818,Fujairah F2 Integrated Water and power plant,ARE,electricity-generation,25.302,56.3706,trace_56.3706_25.302,owner,ENGIE,1E+11,20,Fujairah Asia Power Company,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{9813},"{3788,5925,9813}"
25453818,Fujairah F2 Integrated Water and power plant,ARE,electricity-generation,25.302,56.3706,trace_56.3706_25.302,owner,Marubeni,1E+11,20,Fujairah Asia Power Company,1E+11,100,real_property_power-plant,01-01-2022 00:00,31-12-2022 00:00,49:34.9,,{9813},"{3788,5925,9813}"
